"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5555757060187","13.4700478780762","13.5099932523762","13.2177012906951","13.4546602232257","14.1199363693613","14.4532407763761","14.748172919273","15.2750071841283","15.6313618619175","15.811950125643","15.9680521185096","16.3358096116381","16.9512003059736","17.2603901697117","17.5032087652756","17.9772956303853","18.6357622220049","19.7207515388584","20.9256676356837","22.1515314635635","23.4095554351807","23.7354995191658","24.8574730785962","25.6504046099574","27.0466120505002","28.1895707253508","29.3513450622559","29.397891998291","29.595682144165","28.7098007202148","28.296688079834","27.7515632976784","28.6070991451479","29.8354579509729","30.9160155190794",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000352679836735092","0.00111394858870903","0.00173800851281902","0.00256517093262005","0.00433756701545152","0.010021111235076","0.0195238496691796","0.203578195027624","0.265213695133433","0.268512865552057","0.273974845570072","0.284204694473247","0.285447673780027","0.286257136266094","0.296706186628395","0.304986062685126","0.316163294142947","0.335565038605688","0.346490853973143","0.354252578589996","0.346210028538156","0.358454780608304","0.35423246168002","0.347682118678299","0.33808210223662","0.347014355931359","0.340858541489305","0.345777340570119","0.34772840119275","0.345535293716834","0.345226635301275","0.35413555036835","0.366580087781656","0.377621911406109","0.387533240879461","0.405704596599949",
"Bahrain","BHR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130577155874319","0.123927999051973","0.116886382872844","0.11072507344787","0.116358060535783","0.115211515660114","0.113362754404065","0.112479326886398","0.103379352609701","0.104644734460424","0.116982617172684","0.11055809699203","0.112583396914352","0.119901247229771","0.129594776265618","0.142913587188249","0.150897208038238","0.15931021545746","0.17406229252103","0.150516384868706","0.166564576204837","0.178678497672081","0.175286383568788","0.180218320384915","0.183168477622234","0.18578421233034","0.188678214863324","0.185696244239807","0.190370857715607","0.181090995669365","0.171287223696709","0.185745358467102","0.185784178119927","0.171479388100597","0.166200043745861","0.162039933977081",
"Bahamas, The","BHS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.981485752947395","0.973650794912412","0.989136386194719","0.958001360765348","0.958453165440505","0.946303104139193","0.938436470001862","0.940311294133002","0.958214225900851","0.991622397074128","0.978604860482659","0.960434796885448","0.983193791481616","0.975293134846324","0.961102963670181","0.979000300684923","0.957578179719108","0.959803694096182","0.955678288193654","0.939976234386124","0.92504427155775","0.89856344461441","0.919978032159248","0.912468042625818","0.918396825378532","0.955871813530898","0.94831266986888","0.929797828197479","0.926608264446259","0.931452453136444","0.962290525436401","0.977568686008453","0.950295483058565","0.977236382694572","0.956315655509349","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000236571925433183","0.000339754189707506","0.00485662855081156","0.362683424299216","0.529520923706725","0.588054114495254","0.586950368842084","0.641331758046048","0.618731507446435","0.661549564497553","0.685016018468078","0.704367387352116","0.715733165300977","0.716806133690987","0.714452114374716","0.723433595234307","0.718618945598991","0.730942909558124","0.752853811445115","0.734836260779835","0.732453120710421","0.718162988200595","0.705942329321625","0.686156146583249","0.687206492917369","0.694093424639459","0.675563228101234","0.680666262909282","0.674436029099518","0.651074505490861","0.642981102710874","0.65969527895829","0.657431308926182","0.670472360097951","0.675493641070968","0.697646964731518",
"Belarus","BLR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.14013304763143E-09","1.65647549709695E-08","1.83136982425429E-07","2.07290029828935E-06","4.15197988428672E-05","0.000309681895828648","0.000467467219218807","0.000788802997022105","0.0013773918203793","0.00566077318620184","0.0157919445435883","0.027727659208261","0.0395608683108802","0.0506992845551671","0.0605667172668363","0.0698668876297485","0.0750618267138262","0.0824894594788474","0.0980983208969226","0.106523893943319","0.11717996114729","0.196053221821785","0.320005868272162","0.373530841732445","0.447961900499018","0.524063800819057","0.562285911430173","0.607136130332947","0.647122502326965","0.641350507736206","0.641749382019043","0.688632726669312","0.73860169311713","0.769559852957259","0.842282411048369","0.90876978092131",
"Belize","BLZ","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33709267283852","1.26273377796822","1.27693015302548","1.27069145363037","1.27676940457103","1.3166661517313","1.32845944560046","1.28614910174783","1.30291622331322","1.26340375207348","1.25309467676478","1.20198791389608","1.19182263827779","1.12089002479695","1.11492965455574","1.11352954072794","1.11502724564441","1.12697393120217","1.14521665525077","1.11013101983537","1.12053858408646","1.15122830867767","1.23238351604957","1.25077793313604","1.29150204825605","1.29049548931782","1.30670152863667","1.3314516544342","1.26605069637299","1.17554986476898","1.08695876598358","1.04862034320831","1.05032723104358","1.08065577806943","1.06926356021066","1.05113051635175",
"Bermuda","BMU","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.873403381157046","0.89916047119197","0.90386403286114","0.92881561391096","0.927218433804717","0.946124631588282","1.20194645888581","1.22911615131731","1.24877840761967","1.26474971673651","1.18434273976868","1.14240338743676","1.22144545379194","1.23163181812905","1.25565604819627","1.29981316448538","1.32873082855037","1.37873985662965","1.421784825458","1.42781583982663","1.44221788989475","1.39679682254791","1.44923890256807","1.42204865225408","1.40246737743196","1.38070297151496","1.35237412323767","1.31113624572754","1.3166686296463","1.2727233171463","1.25638365745544","1.22146320343018","1.14355182819509","1.17047800140108","1.19812062185577","",
"Bolivia","BOL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94828483131822","1.07952365678955","1.19478478533275","1.24365016460759","1.31448103121669","1.43461115483113","1.57196314987869","1.63347588766446","1.72922023156987","1.74621091967537","1.79624519319061","1.78954172947672","1.81186408863611","1.88925510498195","1.98637022806314","2.04040062881635","2.24981384646937","2.35197938211124","2.54706802991956","2.47019598239973","2.65475475436301","2.98091197013855","3.03348120528034","3.00953763550479","2.98222152129765","2.89461967008556","2.77929957475478","2.68458724021912","2.70201420783997","2.63906097412109","2.58266496658325","2.473956823349","2.36952460555989","2.28929736096853","2.3689096918025","2.76324583616839",
"Brazil","BRA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15782219426631E-05","5.78652431027722E-05","0.000604804339698918","0.0123840650910885","0.283749422448561","0.539108158186117","0.627126072194513","0.664143975887206","0.689104221302282","0.733919243603518","0.757895423908826","0.802170641858437","0.867290572565424","0.970343048303451","1.01818475110591","1.06059390836953","1.09856354064257","1.13845673012808","1.21498747297703","1.29585280193131","1.38813702346287","1.4732164144516","1.60913586532018","1.70855542893458","1.82485052496386","2.00586931129873","2.15597159643949","2.2096791267395","2.19759154319763","2.21644520759583","2.26491117477417","2.37927412986755","2.41165555900142","2.44559278607045","2.48371015372826","2.55440835439356",
